Taxon,Domain,Major_Clade,Minor_Clade,Shallow_Clade
Amplectina_cordis,Eukaryota,SAR,Alveolata,Apicomplexa
Ancora_sagittata,Eukaryota,SAR,Alveolata,Apicomplexa
Anthozoaphila_gnarlus,Eukaryota,SAR,Alveolata,Apicomplexa
Babesia_bigemina,Eukaryota,SAR,Alveolata,Apicomplexa
Babesia_bovis,Eukaryota,SAR,Alveolata,Apicomplexa
Babesia_caballi,Eukaryota,SAR,Alveolata,Apicomplexa
Babesia_divergens,Eukaryota,SAR,Alveolata,Apicomplexa
Babesia_duncani,Eukaryota,SAR,Alveolata,Apicomplexa
Babesia_gibsoni,Eukaryota,SAR,Alveolata,Apicomplexa
Babesia_goethfordi,Eukaryota,SAR,Alveolata,Apicomplexa
Babesia_microti,Eukaryota,SAR,Alveolata,Apicomplexa
Babesia_ovata,Eukaryota,SAR,Alveolata,Apicomplexa
Babesia_ovis,Eukaryota,SAR,Alveolata,Apicomplexa
Babesia_sp,Eukaryota,SAR,Alveolata,Apicomplexa
Belladina_schistomeringa,Eukaryota,SAR,Alveolata,Apicomplexa
Besnoitia_besnoiti,Eukaryota,SAR,Alveolata,Apicomplexa
Blabericola_migrator,Eukaryota,SAR,Alveolata,Apicomplexa
Cardiosporidium_cionae,Eukaryota,SAR,Alveolata,Apicomplexa
Cephaloidophora_alienae,Eukaryota,SAR,Alveolata,Apicomplexa
Cephaloidophora_caprellina,Eukaryota,SAR,Alveolata,Apicomplexa
Cephaloidophora_cf_communis,Eukaryota,SAR,Alveolata,Apicomplexa
Cephaloidophora_cola,Eukaryota,SAR,Alveolata,Apicomplexa
Cephaloidophora_hippola,Eukaryota,SAR,Alveolata,Apicomplexa
Cephaloidophora_quadrae,Eukaryota,SAR,Alveolata,Apicomplexa
Cephaloidophora_sp,Eukaryota,SAR,Alveolata,Apicomplexa
Cephaloidophora_squarepantsi,Eukaryota,SAR,Alveolata,Apicomplexa
Cryptosporidium_andersoni,Eukaryota,SAR,Alveolata,Apicomplexa
Cryptosporidium_baileyi,Eukaryota,SAR,Alveolata,Apicomplexa
Cryptosporidium_bovis,Eukaryota,SAR,Alveolata,Apicomplexa
Cryptosporidium_canis,Eukaryota,SAR,Alveolata,Apicomplexa
Cryptosporidium_felis,Eukaryota,SAR,Alveolata,Apicomplexa
Cryptosporidium_hominis,Eukaryota,SAR,Alveolata,Apicomplexa
Cryptosporidium_meleagridis,Eukaryota,SAR,Alveolata,Apicomplexa
Cryptosporidium_muris,Eukaryota,SAR,Alveolata,Apicomplexa
Cryptosporidium_parvum,Eukaryota,SAR,Alveolata,Apicomplexa
Cryptosporidium_proliferans,Eukaryota,SAR,Alveolata,Apicomplexa
Cryptosporidium_ryanae,Eukaryota,SAR,Alveolata,Apicomplexa
Cryptosporidium_serpentis,Eukaryota,SAR,Alveolata,Apicomplexa
Cryptosporidium_tyzzeri,Eukaryota,SAR,Alveolata,Apicomplexa
Cryptosporidium_ubiquitum,Eukaryota,SAR,Alveolata,Apicomplexa
Cryptosporidium_xiaoi,Eukaryota,SAR,Alveolata,Apicomplexa
Cyclospora_cayetanensis,Eukaryota,SAR,Alveolata,Apicomplexa
Cystoisospora_suis,Eukaryota,SAR,Alveolata,Apicomplexa
Devanium_cincinnus,Eukaryota,SAR,Alveolata,Apicomplexa
Devanium_robustum,Eukaryota,SAR,Alveolata,Apicomplexa
Difficilina_tubulani,Eukaryota,SAR,Alveolata,Apicomplexa
Digyalum_oweni,Eukaryota,SAR,Alveolata,Apicomplexa
Eimeria_acervulina,Eukaryota,SAR,Alveolata,Apicomplexa
Eimeria_brunetti,Eukaryota,SAR,Alveolata,Apicomplexa
Eimeria_falciformis,Eukaryota,SAR,Alveolata,Apicomplexa
Eimeria_flavescens,Eukaryota,SAR,Alveolata,Apicomplexa
Eimeria_intestinalis,Eukaryota,SAR,Alveolata,Apicomplexa
Eimeria_magna,Eukaryota,SAR,Alveolata,Apicomplexa
Eimeria_maxima,Eukaryota,SAR,Alveolata,Apicomplexa
Eimeria_media,Eukaryota,SAR,Alveolata,Apicomplexa
Eimeria_mitis,Eukaryota,SAR,Alveolata,Apicomplexa
Eimeria_necatrix,Eukaryota,SAR,Alveolata,Apicomplexa
Eimeria_praecox,Eukaryota,SAR,Alveolata,Apicomplexa
Eimeria_stiedae,Eukaryota,SAR,Alveolata,Apicomplexa
Eimeria_tenella,Eukaryota,SAR,Alveolata,Apicomplexa
Eleutheroschizon_duboscqi,Eukaryota,SAR,Alveolata,Apicomplexa
Eugregarinorida_sp_1,Eukaryota,SAR,Alveolata,Apicomplexa
Eugregarinorida_sp_2,Eukaryota,SAR,Alveolata,Apicomplexa
Filipodium_phascolosomae,Eukaryota,SAR,Alveolata,Apicomplexa
Ganymedes_balani,Eukaryota,SAR,Alveolata,Apicomplexa
Ganymedes_themistos,Eukaryota,SAR,Alveolata,Apicomplexa
Gregarina_niphandrodes,Eukaryota,SAR,Alveolata,Apicomplexa
Gregarina_sp,Eukaryota,SAR,Alveolata,Apicomplexa
Gregarina_sp_Poly39,Eukaryota,SAR,Alveolata,Apicomplexa
Haemoproteus_columbae,Eukaryota,SAR,Alveolata,Apicomplexa
Hammondia_hammondi,Eukaryota,SAR,Alveolata,Apicomplexa
Heliospora_caprellae,Eukaryota,SAR,Alveolata,Apicomplexa
Hepatocystis_sp,Eukaryota,SAR,Alveolata,Apicomplexa
Kinetosphaera_horologium,Eukaryota,SAR,Alveolata,Apicomplexa
Klossia_helicina,Eukaryota,SAR,Alveolata,Apicomplexa
Lankesteria_abbotti,Eukaryota,SAR,Alveolata,Apicomplexa
Lankesteria_halocynthiae,Eukaryota,SAR,Alveolata,Apicomplexa
Lankesteria_metandrocarpae,Eukaryota,SAR,Alveolata,Apicomplexa
Lecudina_cf_platynereidis,Eukaryota,SAR,Alveolata,Apicomplexa
Lecudina_lumbrinella,Eukaryota,SAR,Alveolata,Apicomplexa
Lecudina_oxydromus,Eukaryota,SAR,Alveolata,Apicomplexa
Lecudina_sylla,Eukaryota,SAR,Alveolata,Apicomplexa
Lecudina_tuzetae,Eukaryota,SAR,Alveolata,Apicomplexa
Legerella_nova,Eukaryota,SAR,Alveolata,Apicomplexa
Lentusidium_euphilomedae,Eukaryota,SAR,Alveolata,Apicomplexa
Loxomoprha_cf_harmothoe,Eukaryota,SAR,Alveolata,Apicomplexa
Lunidium_laculatum,Eukaryota,SAR,Alveolata,Apicomplexa
Lunidium_melongena,Eukaryota,SAR,Alveolata,Apicomplexa
Margolisiella_islandica,Eukaryota,SAR,Alveolata,Apicomplexa
Merocystis_kathae,Eukaryota,SAR,Alveolata,Apicomplexa
Metzidium_perlucensae,Eukaryota,SAR,Alveolata,Apicomplexa
Monocystis_agilis,Eukaryota,SAR,Alveolata,Apicomplexa
Neospora_caninum,Eukaryota,SAR,Alveolata,Apicomplexa
Nephromyces_sp,Eukaryota,SAR,Alveolata,Apicomplexa
Ophryocystis_elektroscirrha,Eukaryota,SAR,Alveolata,Apicomplexa
Paralecudina_anankea,Eukaryota,SAR,Alveolata,Apicomplexa
Paralecudina_grappleria,Eukaryota,SAR,Alveolata,Apicomplexa
Paralecudina_heriota,Eukaryota,SAR,Alveolata,Apicomplexa
Plasmodium_adleri,Eukaryota,SAR,Alveolata,Apicomplexa
Plasmodium_berghei,Eukaryota,SAR,Alveolata,Apicomplexa
Plasmodium_billcollinsi,Eukaryota,SAR,Alveolata,Apicomplexa
Plasmodium_blacklocki,Eukaryota,SAR,Alveolata,Apicomplexa
Plasmodium_brasilianum,Eukaryota,SAR,Alveolata,Apicomplexa
Plasmodium_chabaudi,Eukaryota,SAR,Alveolata,Apicomplexa
Plasmodium_coatneyi,Eukaryota,SAR,Alveolata,Apicomplexa
Plasmodium_cynomolgi,Eukaryota,SAR,Alveolata,Apicomplexa
Plasmodium_delichoni,Eukaryota,SAR,Alveolata,Apicomplexa
Plasmodium_falciparum,Eukaryota,SAR,Alveolata,Apicomplexa
Plasmodium_fragile,Eukaryota,SAR,Alveolata,Apicomplexa
Plasmodium_gaboni,Eukaryota,SAR,Alveolata,Apicomplexa
Plasmodium_gallinaceum,Eukaryota,SAR,Alveolata,Apicomplexa
Plasmodium_gonderi,Eukaryota,SAR,Alveolata,Apicomplexa
Plasmodium_homocircumflexum,Eukaryota,SAR,Alveolata,Apicomplexa
Plasmodium_inui,Eukaryota,SAR,Alveolata,Apicomplexa
Plasmodium_knowlesi,Eukaryota,SAR,Alveolata,Apicomplexa
Plasmodium_malariae,Eukaryota,SAR,Alveolata,Apicomplexa
Plasmodium_praefalciparum,Eukaryota,SAR,Alveolata,Apicomplexa
Plasmodium_reichenowi,Eukaryota,SAR,Alveolata,Apicomplexa
Plasmodium_relictum,Eukaryota,SAR,Alveolata,Apicomplexa
Plasmodium_vinckei,Eukaryota,SAR,Alveolata,Apicomplexa
Plasmodium_vivax,Eukaryota,SAR,Alveolata,Apicomplexa
Plasmodium_yoelii,Eukaryota,SAR,Alveolata,Apicomplexa
Platyproteum_sp_A,Eukaryota,SAR,Alveolata,Apicomplexa
Platyproteum_sp_B,Eukaryota,SAR,Alveolata,Apicomplexa
Platyproteum_vivax,Eukaryota,SAR,Alveolata,Apicomplexa
Polyplicarium_lacrimae,Eukaryota,SAR,Alveolata,Apicomplexa
Polyplicarium_translucidae,Eukaryota,SAR,Alveolata,Apicomplexa
Polyrhabdina_disparis,Eukaryota,SAR,Alveolata,Apicomplexa
Polyrhabdina_hyacinthensis,Eukaryota,SAR,Alveolata,Apicomplexa
Polyrhabdina_simplex,Eukaryota,SAR,Alveolata,Apicomplexa
Polyrhabdina_sp,Eukaryota,SAR,Alveolata,Apicomplexa
Porospora_cf_gigantea,Eukaryota,SAR,Alveolata,Apicomplexa
Protomagalhaensia_sp,Eukaryota,SAR,Alveolata,Apicomplexa
Protomagalhaensia_wolfi,Eukaryota,SAR,Alveolata,Apicomplexa
Pterospora_schizosoma,Eukaryota,SAR,Alveolata,Apicomplexa
Rhytidocystis_sp,Eukaryota,SAR,Alveolata,Apicomplexa
Sarcocystis_calchasi,Eukaryota,SAR,Alveolata,Apicomplexa
Sarcocystis_cruzi,Eukaryota,SAR,Alveolata,Apicomplexa
Sarcocystis_neurona,Eukaryota,SAR,Alveolata,Apicomplexa
Selenidium_capillus,Eukaryota,SAR,Alveolata,Apicomplexa
Selenidium_natalis,Eukaryota,SAR,Alveolata,Apicomplexa
Selenidium_orientale,Eukaryota,SAR,Alveolata,Apicomplexa
Selenidium_pherusae,Eukaryota,SAR,Alveolata,Apicomplexa
Selenidium_pisinnus,Eukaryota,SAR,Alveolata,Apicomplexa
Selenidium_pygospionis,Eukaryota,SAR,Alveolata,Apicomplexa
Selenidium_serpulae,Eukaryota,SAR,Alveolata,Apicomplexa
Selenidium_terebellae,Eukaryota,SAR,Alveolata,Apicomplexa
Selenidium_validusae,Eukaryota,SAR,Alveolata,Apicomplexa
Siedleckia_leitoscoloplosis,Eukaryota,SAR,Alveolata,Apicomplexa
Siedleckia_nematoides,Eukaryota,SAR,Alveolata,Apicomplexa
Theileria_annulata,Eukaryota,SAR,Alveolata,Apicomplexa
Theileria_equi,Eukaryota,SAR,Alveolata,Apicomplexa
